95253,K-Touch/天语 E621 安卓4.0系统 双模双待 3.5英寸,天语（K-Touch ）,0,12,199,4.1-4.9英寸,Android（安卓）,
95259,Hisense/海信HS- E926 电信天翼 双核1.2 安卓4.0 （黑色）,海信（Hisense）,1,163,399,-,-,
95260,三盟 S178 老人手机 大字体 翻盖手机（黑色）,三盟,0,4,398,3.6-4.0英寸,非智能操作系统,
95280,ZTE/中兴 V889F双核1.2G主频 双卡双待 500W像素 黑,中兴（ZTE ）,1,2,346,4.1-4.9英寸,Android（安卓）,
95282,Coolpad 酷派 5230 智能3G手机(黑色),欧欧（OO）,0,1,419,-,-,
95283,UMO 优摩 L908 老人手机(双卡双待 锌合金外壳 超大电池 红色),茉（MO）,0,11,248,-,其他,
95288,NOKIA 诺基亚 Lumia510 时尚windows phone智能3G手机,小米（MI）,1,4,448,-,-,
95306,乐目LM861军用户外导航手机手写三防手机 (黑),乐目（OINOM）,0,0,1299,-,其他,
95308,OINOM 乐目 LM851+ GSM+CDMA 双模双待 三防手机（军威绿）,乐目（OINOM）,9,99,620,-,其他,
95309,OINOM 乐目 LM890 双卡双待 三防老人手机（橙黑色）,乐目（OINOM）,0,106,188,-,-,
95327,ZTE/中兴 U788+ 移动3G 安卓4.0智能手机 WLAN 1G CPU 银色,中兴（ZTE ）,0,0,299,3.5英寸以下,Android（安卓）,
95328,联想（Lenovo）A798T 3G手机  TD-CDMA/GSM,诺和（Novo）,0,10,748,4.1-4.9英寸,Android（安卓）,
95329,黑莓（BlackBerry）9800 3G手机（黑色）WCDMA/GSM				,黑莓（BlackBerry）,0,0,3999,-,-,
95340,摩托罗拉（Motorola）MT917手机（挥洒黑）TD-SCDMA/GSM,摩托罗拉（Motorola）,10,1801,1590,-,-,
95346,中兴（ZTE）U721 3G手机（黑色）TD-SCDMA/GSM,中兴（ZTE ）,0,0,246,-,其他,
95347,华为荣耀Ⅱ C8950D 3G手机（黑色）CDMA2000/GSM双网双待				,荣耀（ROVOS）,0,1,599,-,谷歌Android,
95348,康佳（KONKA）W830手机（深枪色+白色）WCDMA/GSM双模双卡,康佳（KONKA）,0,1,798,4.1-4.9英寸,Android（安卓）,
95349,HTC 新渴望VT T329t TD-SCDMA/GSM 3G手机 珠贝白 - 4.0英寸/500万像素/直板式/移动定制机,渴望（crave）,8,561,599,-,-,
95350,HUAWEI 华为 G330D U8825D 双卡双待 WCDMA/GSM 3G手机  - 4.0英寸/500万像素/联通定制机,华为（HUAWEI）,0,0,1098,4.1-4.9英寸,Android（安卓）,
95351,华为（HUAWEI）Y210S 3G手机CDMA2000/CDMA,华为（HUAWEI）,0,0,436,3.6-4.0英寸,Android（安卓）,
95352,三星 I9268 智能3G手机 安卓4.1 双核1.5G  TD-CDMA/GSM,三星（SAMSUNG）,0,0,1498,4.1-4.9英寸,Android（安卓）,
95353,三星 W2013 电信3G 3.7英寸 四核,三星（SAMSUNG）,1,397,5288,-,-,
95354,HTC A620e（8S）3G手机（黑白双色）WCDMA/GSM ,HTC,10,83,959,-,-,
95357,天语手机E7(黑色),天语（K-Touch ）,2,27,396,4.1-4.9英寸,Android（安卓）,
95358,华为手机D1(T9510E)(黑色),华为（HUAWEI）,0,0,1098,-,谷歌Android,
